State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Computer,sex_ratio,literacy_rate
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,1363044,2656,474537,22915,1769937,428555,2109,340,564,155,129,149908,26716,102.0,62.0
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,2141488,23717,624149,3390,2183255,1185643,10582,24912,1855,18544,236,425624,69473,113.0,62.0
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,1428683,4447,661129,20132,2292534,195765,2373,1133,341,701,27,145997,24518,111.0,57.0
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,2263848,11690,731406,685,2488265,2248392,13157,7555,1260,2426,382,281758,61846,110.0,47.0
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,2417339,10077,561250,317,2382914,1711453,6495,18601,1516,16345,60,368153,56149,112.0,58.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,1061095,2870,333558,1714,1449007,489686,3510,84787,360,138,45,83006,18097,112.0,52.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,437744,430104,401515,716,60429,550427,827293,25597,358,72,32,14077,27,71612,5961,102.0,46.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,1606085,1603056,1931559,5149,709252,723,2731351,452394,3920,1451,7795,746,43,140538,34400,100.0,60.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,1965843,5184,1030367,1756,2975998,413243,3634,2424,722,397,602,247856,34788,106.0,58.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,1043666,3847,307936,358,1073890,1181337,9201,65316,384,1307,63,131112,25960,110.0,45.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,1834106,1632276,2077108,9699,764450,980,1966892,1454052,6523,18627,1937,10208,135,404499,38816,112.0,60.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,954949,2031,369039,1593,1300586,404410,1766,447,4393,95,35,79525,19729,103.0,56.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,3889,532673,508,2412595,527581,4630,51090,2312,301,84,115163,27533,115.0,50.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,3874,1446427,1602,3555450,893725,6579,11611,2663,1410,79,102040,34609,113.0,51.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,5149,421661,385018,1738769,103567,3963,1649,1747,487,1907,95582,25220,109.0,53.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,2239902,5956,851587,696,3119590,650261,4453,1629,9989,426,336,233701,44008,102.0,59.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,1773584,3476,948588,2926,2732016,363453,3574,1204,920,240,31,99466,28719,110.0,57.0
